date,student_id,course_category,team,sales_rep,contract_value,contract_status
2024-11-02,STU_0107,IELTS,Team Bravo,Rep_12,1925000,Active
2025-04-25,STU_0108,IELTS,Team Delta,Rep_6,495000,Active
2025-03-30,STU_0109,Academic Skills,Team Bravo,Rep_2,1948000,Active
2025-01-22,STU_0110,TOEIC,Team Sigma,Rep_5,919000,Active
2025-07-04,STU_0111,IELTS,Team Delta,Rep_2,1972000,Active
2025-11-02,STU_0112,IELTS,Team Bravo,Rep_5,537000,Cancelled
2024-05-13,STU_0113,Kids English,Team Delta,Rep_7,1078000,Active
2025-11-08,STU_0114,Kids English,Team Sigma,Rep_13,1276000,Active
2024-01-28,STU_0115,Kids English,Team Delta,Rep_14,991000,Active
2024-03-12,STU_0116,IELTS,Team Bravo,Rep_7,416000,Active
2025-02-01,STU_0117,IELTS,Team Alpha,Rep_1,963000,Active
2024-06-09,STU_0118,Kids English,Team Alpha,Rep_8,387000,Active
2024-08-22,STU_0119,IELTS,Team Bravo,Rep_9,579000,Active
2024-05-02,STU_0120,IELTS,Team Bravo,Rep_1,692000,Active
2024-09-26,STU_0121,Business English,Team Bravo,Rep_12,1264000,Active
2024-02-23,STU_0122,Business English,Team Delta,Rep_12,1380000,Active
2024-10-01,STU_0123,Business English,Team Alpha,Rep_4,214000,Active
2025-08-18,STU_0124,TOEIC,Team Alpha,Rep_3,264000,Active
2024-05-03,STU_0125,Academic Skills,Team Alpha,Rep_12,720000,Active
2024-10-16,STU_0126,TOEIC,Team Delta,Rep_4,1567000,Active
2025-02-19,STU_0127,Kids English,Team Alpha,Rep_4,1352000,Active
2024-06-18,STU_0128,IELTS,Team Delta,Rep_12,847000,Active
2025-11-11,STU_0129,Kids English,Team Delta,Rep_3,1695000,Active
2024-05-09,STU_0130,Kids English,Team Bravo,Rep_1,1286000,Active
2025-12-08,STU_0131,Kids English,Team Delta,Rep_15,1362000,Active
2024-03-15,STU_0132,IELTS,Team Bravo,Rep_3,1722000,Active
2025-02-04,STU_0133,TOEIC,Team Alpha,Rep_5,792000,Active
2024-12-04,STU_0134,Academic Skills,Team Delta,Rep_11,591000,Active
2024-01-08,STU_0135,Business English,Team Delta,Rep_14,1898000,Cancelled
2024-09-17,STU_0136,Kids English,Team Delta,Rep_1,618000,Active
2025-03-10,STU_0137,Academic Skills,Team Bravo,Rep_5,488000,Active
2024-01-16,STU_0138,TOEIC,Team Alpha,Rep_5,578000,Active
2025-08-13,STU_0139,Business English,Team Bravo,Rep_11,1996000,Active
2025-02-11,STU_0140,Academic Skills,Team Alpha,Rep_2,1713000,Active
2024-07-17,STU_0141,Business English,Team Bravo,Rep_8,430000,Cancelled
2024-09-14,STU_0142,Academic Skills,Team Sigma,Rep_10,1217000,Active
2025-02-19,STU_0143,Business English,Team Bravo,Rep_12,240000,Active
2024-08-02,STU_0144,Academic Skills,Team Alpha,Rep_11,1251000,Active
2025-09-06,STU_0145,IELTS,Team Bravo,Rep_13,334000,Active
2024-11-23,STU_0146,Business English,Team Alpha,Rep_5,400000,Active
2025-04-06,STU_0147,Academic Skills,Team Alpha,Rep_9,979000,Active
2025-01-31,STU_0148,Academic Skills,Team Sigma,Rep_10,1129000,Active
2025-04-27,STU_0149,Business English,Team Delta,Rep_9,1256000,Active
2025-03-21,STU_0150,IELTS,Team Sigma,Rep_10,1271000,Active
2025-06-12,STU_0151,Business English,Team Sigma,Rep_10,702000,Active
2025-11-29,STU_0152,IELTS,Team Bravo,Rep_3,606000,Active
2025-08-08,STU_0153,Academic Skills,Team Alpha,Rep_4,1797000,Active
2024-03-18,STU_0154,Academic Skills,Team Bravo,Rep_3,1951000,Active
2024-06-27,STU_0155,IELTS,Team Bravo,Rep_15,1004000,Active
2025-11-07,STU_0156,IELTS,Team Alpha,Rep_14,298000,Active
2024-12-11,STU_0157,Business English,Team Alpha,Rep_7,883000,Active
2024-05-03,STU_0158,Academic Skills,Team Bravo,Rep_9,925000,Active
2025-10-23,STU_0159,Academic Skills,Team Delta,Rep_1,1770000,Active
2025-10-19,STU_0160,Kids English,Team Alpha,Rep_5,1160000,Active
2024-05-25,STU_0161,TOEIC,Team Sigma,Rep_3,1962000,Active
2024-06-28,STU_0162,Business English,Team Alpha,Rep_11,812000,Active
2025-05-04,STU_0163,Academic Skills,Team Bravo,Rep_14,1685000,Active
2024-11-15,STU_0164,Academic Skills,Team Alpha,Rep_1,842000,Active
2025-04-01,STU_0165,Kids English,Team Alpha,Rep_12,1992000,Cancelled
2025-04-05,STU_0166,IELTS,Team Alpha,Rep_1,1228000,Active
2024-12-13,STU_0167,IELTS,Team Sigma,Rep_3,1441000,Active
2025-03-03,STU_0168,Business English,Team Sigma,Rep_4,702000,Active
2024-06-13,STU_0169,IELTS,Team Delta,Rep_4,966000,Cancelled
2024-03-19,STU_0170,Kids English,Team Bravo,Rep_3,597000,Active
2025-03-16,STU_0171,IELTS,Team Bravo,Rep_14,1070000,Active
2024-05-01,STU_0172,TOEIC,Team Delta,Rep_8,994000,Active
2025-11-17,STU_0173,Kids English,Team Delta,Rep_14,592000,Active
2024-05-12,STU_0174,IELTS,Team Sigma,Rep_6,406000,Active
2025-11-26,STU_0175,Kids English,Team Sigma,Rep_9,1238000,Cancelled
2025-01-06,STU_0176,TOEIC,Team Delta,Rep_7,1777000,Active
2024-09-30,STU_0177,Kids English,Team Delta,Rep_4,1091000,Active
2025-01-08,STU_0178,TOEIC,Team Alpha,Rep_14,1684000,Active
2025-09-04,STU_0179,Kids English,Team Sigma,Rep_5,1914000,Active
2024-11-11,STU_0180,IELTS,Team Sigma,Rep_13,1798000,Active
2024-06-17,STU_0181,IELTS,Team Alpha,Rep_11,1063000,Active
2025-08-23,STU_0182,IELTS,Team Alpha,Rep_15,942000,Active
2025-04-19,STU_0183,TOEIC,Team Delta,Rep_13,1464000,Active
2025-04-17,STU_0184,Academic Skills,Team Bravo,Rep_1,763000,Active
2025-12-27,STU_0185,Kids English,Team Bravo,Rep_1,1220000,Active
2024-09-14,STU_0186,TOEIC,Team Alpha,Rep_3,295000,Cancelled
2025-11-09,STU_0187,TOEIC,Team Sigma,Rep_12,1957000,Active
2025-12-30,STU_0188,Kids English,Team Alpha,Rep_14,684000,Cancelled
2025-08-12,STU_0189,IELTS,Team Bravo,Rep_13,1630000,Active
2024-02-21,STU_0190,TOEIC,Team Sigma,Rep_9,430000,Active
2024-07-13,STU_0191,TOEIC,Team Alpha,Rep_6,948000,Active
2024-12-02,STU_0192,Kids English,Team Sigma,Rep_5,1878000,Active
2025-07-24,STU_0193,Business English,Team Alpha,Rep_13,1394000,Active
2025-03-08,STU_0194,Academic Skills,Team Sigma,Rep_9,740000,Active
2025-03-21,STU_0195,IELTS,Team Sigma,Rep_4,1259000,Active
2024-03-01,STU_0196,Kids English,Team Bravo,Rep_1,724000,Active
2025-04-20,STU_0197,TOEIC,Team Sigma,Rep_15,1383000,Cancelled
2025-12-20,STU_0198,Kids English,Team Bravo,Rep_8,1922000,Cancelled
2025-03-13,STU_0199,Business English,Team Sigma,Rep_4,1466000,Active
2024-12-26,STU_0200,Kids English,Team Bravo,Rep_7,1309000,Active
2024-01-11,STU_0201,Academic Skills,Team Bravo,Rep_10,777000,Active
2024-09-17,STU_0202,TOEIC,Team Alpha,Rep_13,881000,Active
2025-11-03,STU_0203,Academic Skills,Team Alpha,Rep_7,756000,Active
2025-03-03,STU_0204,TOEIC,Team Sigma,Rep_4,1797000,Active
2024-08-18,STU_0205,Business English,Team Delta,Rep_14,1212000,Active
2024-12-07,STU_0206,Business English,Team Bravo,Rep_10,845000,Cancelled
2024-06-05,STU_0207,IELTS,Team Bravo,Rep_13,995000,Active
2024-12-07,STU_0208,Kids English,Team Delta,Rep_6,1251000,Active
2024-02-21,STU_0209,IELTS,Team Bravo,Rep_3,1843000,Active
2025-04-27,STU_0210,Kids English,Team Bravo,Rep_5,1779000,Active
2025-08-02,STU_0211,IELTS,Team Delta,Rep_4,1563000,Active
2024-01-07,STU_0212,IELTS,Team Sigma,Rep_1,1554000,Cancelled
2025-12-06,STU_0213,IELTS,Team Bravo,Rep_9,1863000,Active
2025-12-07,STU_0214,TOEIC,Team Alpha,Rep_1,1729000,Cancelled
2024-06-15,STU_0215,Business English,Team Sigma,Rep_3,1571000,Active
2025-07-12,STU_0216,Business English,Team Sigma,Rep_2,1696000,Active
2025-11-15,STU_0217,IELTS,Team Delta,Rep_13,1454000,Active
2025-07-13,STU_0218,Academic Skills,Team Sigma,Rep_11,389000,Active
2024-10-21,STU_0219,Business English,Team Bravo,Rep_12,1448000,Cancelled
2025-09-04,STU_0220,Kids English,Team Sigma,Rep_9,1608000,Cancelled
2024-12-01,STU_0221,Business English,Team Sigma,Rep_12,1600000,Active
2024-12-13,STU_0222,Academic Skills,Team Delta,Rep_15,1506000,Active
2024-09-03,STU_0223,Business English,Team Bravo,Rep_3,832000,Active
2024-05-18,STU_0224,Kids English,Team Sigma,Rep_6,827000,Cancelled
2024-10-21,STU_0225,TOEIC,Team Delta,Rep_15,1172000,Active
2025-03-28,STU_0226,TOEIC,Team Bravo,Rep_8,1968000,Active
2025-02-21,STU_0227,Business English,Team Bravo,Rep_14,1482000,Active
2025-01-02,STU_0228,Kids English,Team Sigma,Rep_12,1582000,Active
2025-08-27,STU_0229,Kids English,Team Alpha,Rep_3,909000,Active
2024-04-25,STU_0230,Academic Skills,Team Bravo,Rep_7,1679000,Active
2024-06-26,STU_0231,TOEIC,Team Delta,Rep_12,1634000,Cancelled
2025-07-11,STU_0232,Kids English,Team Bravo,Rep_7,848000,Active
2025-10-24,STU_0233,IELTS,Team Alpha,Rep_11,517000,Active
2025-05-03,STU_0234,Kids English,Team Bravo,Rep_13,1900000,Cancelled
2025-05-08,STU_0235,IELTS,Team Delta,Rep_2,1448000,Active
2024-06-20,STU_0236,Kids English,Team Bravo,Rep_12,1457000,Cancelled
2024-12-18,STU_0237,Kids English,Team Delta,Rep_5,883000,Active
2025-08-05,STU_0238,TOEIC,Team Delta,Rep_1,863000,Active
2025-07-13,STU_0239,Academic Skills,Team Alpha,Rep_5,1597000,Cancelled
2024-03-24,STU_0240,Kids English,Team Sigma,Rep_10,1895000,Active
2024-06-30,STU_0241,Business English,Team Bravo,Rep_5,1831000,Active
2024-11-07,STU_0242,IELTS,Team Delta,Rep_13,1695000,Active
2025-03-13,STU_0243,Academic Skills,Team Alpha,Rep_7,1456000,Active
2024-05-25,STU_0244,TOEIC,Team Sigma,Rep_11,1915000,Active
2024-07-27,STU_0245,Business English,Team Sigma,Rep_4,1336000,Active
2025-02-10,STU_0246,IELTS,Team Bravo,Rep_8,1720000,Cancelled
2024-02-15,STU_0247,Business English,Team Alpha,Rep_3,641000,Active
2024-10-04,STU_0248,TOEIC,Team Delta,Rep_11,763000,Active
2024-04-05,STU_0249,Business English,Team Delta,Rep_3,1491000,Active
2025-09-09,STU_0250,Business English,Team Bravo,Rep_9,1733000,Active
2024-04-01,STU_0251,Kids English,Team Sigma,Rep_8,1609000,Active
2024-02-07,STU_0252,Kids English,Team Sigma,Rep_2,1610000,Cancelled
2024-08-07,STU_0253,Kids English,Team Delta,Rep_6,1336000,Active
2025-09-05,STU_0254,Academic Skills,Team Alpha,Rep_9,1836000,Active
2025-07-29,STU_0255,IELTS,Team Alpha,Rep_4,1848000,Active
2025-10-08,STU_0256,Kids English,Team Bravo,Rep_4,1151000,Active
2024-04-17,STU_0257,IELTS,Team Delta,Rep_13,1304000,Active
2024-05-04,STU_0258,Academic Skills,Team Delta,Rep_4,898000,Active
2025-05-09,STU_0259,Business English,Team Alpha,Rep_2,312000,Active
2024-10-25,STU_0260,Kids English,Team Alpha,Rep_14,201000,Active
2025-11-25,STU_0261,Business English,Team Bravo,Rep_6,841000,Active
2025-04-21,STU_0262,TOEIC,Team Bravo,Rep_2,419000,Active
2024-01-15,STU_0263,IELTS,Team Sigma,Rep_7,1789000,Active
2024-07-11,STU_0264,TOEIC,Team Alpha,Rep_8,1054000,Active
2025-08-30,STU_0265,Business English,Team Sigma,Rep_2,1959000,Active
2025-12-01,STU_0266,Kids English,Team Delta,Rep_3,1448000,Active
2024-10-10,STU_0267,IELTS,Team Delta,Rep_8,584000,Active
2025-10-14,STU_0268,Kids English,Team Sigma,Rep_10,1626000,Active
2024-06-21,STU_0269,TOEIC,Team Bravo,Rep_9,1861000,Active
2024-07-05,STU_0270,Kids English,Team Sigma,Rep_2,1353000,Active
2025-12-27,STU_0271,Business English,Team Delta,Rep_11,1276000,Active
2024-07-16,STU_0272,TOEIC,Team Delta,Rep_14,1907000,Active
2025-10-29,STU_0273,TOEIC,Team Bravo,Rep_6,929000,Cancelled
2025-06-08,STU_0274,Kids English,Team Bravo,Rep_1,1895000,Active
2025-11-12,STU_0275,Kids English,Team Sigma,Rep_9,1933000,Active
2025-10-04,STU_0276,TOEIC,Team Alpha,Rep_14,1639000,Active
2024-07-09,STU_0277,Academic Skills,Team Sigma,Rep_1,446000,Active
2024-08-06,STU_0278,TOEIC,Team Alpha,Rep_11,1035000,Active
2025-01-10,STU_0279,Business English,Team Sigma,Rep_9,1662000,Cancelled
2024-06-06,STU_0280,IELTS,Team Sigma,Rep_10,402000,Active
2024-03-02,STU_0281,Academic Skills,Team Sigma,Rep_10,1407000,Active
2025-02-18,STU_0282,Kids English,Team Delta,Rep_13,322000,Active
2025-03-16,STU_0283,Academic Skills,Team Sigma,Rep_8,600000,Cancelled
2024-01-31,STU_0284,Academic Skills,Team Delta,Rep_9,966000,Active
2024-11-25,STU_0285,Business English,Team Delta,Rep_14,493000,Active
2025-04-17,STU_0286,TOEIC,Team Alpha,Rep_1,479000,Active
2025-07-06,STU_0287,Kids English,Team Sigma,Rep_8,1083000,Active
2024-07-27,STU_0288,Business English,Team Sigma,Rep_15,1833000,Cancelled
2024-07-18,STU_0289,TOEIC,Team Delta,Rep_13,397000,Cancelled
2024-07-29,STU_0290,Kids English,Team Sigma,Rep_14,1181000,Active
2024-05-29,STU_0291,Kids English,Team Sigma,Rep_1,1734000,Cancelled
2024-06-11,STU_0292,Academic Skills,Team Delta,Rep_2,951000,Active
2024-06-07,STU_0293,IELTS,Team Bravo,Rep_14,343000,Cancelled
2024-02-16,STU_0294,Academic Skills,Team Delta,Rep_2,808000,Active
2024-11-20,STU_0295,TOEIC,Team Delta,Rep_7,1424000,Active
2025-12-21,STU_0296,Academic Skills,Team Alpha,Rep_11,1347000,Active
2024-01-01,STU_0297,Kids English,Team Sigma,Rep_12,386000,Active
2025-11-24,STU_0298,Kids English,Team Alpha,Rep_2,1549000,Active
2024-04-20,STU_0299,TOEIC,Team Alpha,Rep_4,663000,Active
2025-06-10,STU_0300,TOEIC,Team Delta,Rep_14,1572000,Active
2024-10-27,STU_0301,Kids English,Team Bravo,Rep_6,1994000,Active
2024-04-26,STU_0302,Business English,Team Delta,Rep_4,859000,Active
2024-08-18,STU_0303,Business English,Team Bravo,Rep_10,963000,Active
2025-04-26,STU_0304,Kids English,Team Sigma,Rep_6,1154000,Cancelled
2024-09-18,STU_0305,Academic Skills,Team Bravo,Rep_12,602000,Active
2025-06-05,STU_0306,IELTS,Team Delta,Rep_1,1569000,Active
2025-12-03,STU_0307,Academic Skills,Team Sigma,Rep_6,1734000,Active
2024-03-25,STU_0308,IELTS,Team Bravo,Rep_4,346000,Cancelled
2024-05-21,STU_0309,Kids English,Team Alpha,Rep_13,1371000,Active
2024-07-27,STU_0310,Kids English,Team Sigma,Rep_5,1063000,Active
2024-05-28,STU_0311,IELTS,Team Delta,Rep_11,1934000,Active
2025-05-30,STU_0312,Academic Skills,Team Bravo,Rep_10,688000,Cancelled
2025-01-16,STU_0313,Academic Skills,Team Bravo,Rep_7,1128000,Active
2025-11-14,STU_0314,TOEIC,Team Alpha,Rep_6,1863000,Active
2024-10-05,STU_0315,Kids English,Team Sigma,Rep_6,750000,Active
2024-11-23,STU_0316,IELTS,Team Bravo,Rep_7,537000,Cancelled
2024-03-28,STU_0317,IELTS,Team Delta,Rep_12,1071000,Active
2024-10-21,STU_0318,Business English,Team Bravo,Rep_9,840000,Active
2024-05-19,STU_0319,IELTS,Team Delta,Rep_14,672000,Cancelled
2024-01-11,STU_0320,Kids English,Team Sigma,Rep_6,350000,Active
2024-04-05,STU_0321,IELTS,Team Bravo,Rep_5,1638000,Active
2024-07-27,STU_0322,IELTS,Team Alpha,Rep_11,1521000,Active
2025-10-13,STU_0323,Academic Skills,Team Bravo,Rep_1,1834000,Active
2024-03-27,STU_0324,Academic Skills,Team Alpha,Rep_4,462000,Active
2025-05-26,STU_0325,Business English,Team Sigma,Rep_1,1987000,Active
2024-06-07,STU_0326,Academic Skills,Team Sigma,Rep_14,343000,Active
2025-11-28,STU_0327,Kids English,Team Sigma,Rep_9,545000,Active
2025-09-22,STU_0328,IELTS,Team Alpha,Rep_3,823000,Cancelled
2024-07-20,STU_0329,Kids English,Team Alpha,Rep_7,1216000,Active
2024-08-20,STU_0330,Kids English,Team Sigma,Rep_12,1795000,Cancelled
2024-05-03,STU_0331,TOEIC,Team Delta,Rep_7,1080000,Active
2025-10-22,STU_0332,TOEIC,Team Delta,Rep_6,201000,Cancelled
2024-03-21,STU_0333,Academic Skills,Team Bravo,Rep_8,1096000,Active
2025-02-12,STU_0334,Kids English,Team Sigma,Rep_2,1527000,Active
2025-06-02,STU_0335,Academic Skills,Team Bravo,Rep_4,453000,Active
2024-02-19,STU_0336,IELTS,Team Delta,Rep_3,1875000,Cancelled
2025-09-03,STU_0337,Business English,Team Bravo,Rep_8,652000,Active
2025-03-05,STU_0338,Academic Skills,Team Bravo,Rep_8,1260000,Active
2024-07-29,STU_0339,Business English,Team Alpha,Rep_8,1383000,Active
2024-09-18,STU_0340,Business English,Team Alpha,Rep_8,1214000,Active
2025-05-29,STU_0341,Kids English,Team Delta,Rep_4,208000,Active
2025-06-07,STU_0342,Kids English,Team Bravo,Rep_7,1456000,Active
2024-01-27,STU_0343,Academic Skills,Team Sigma,Rep_3,1322000,Active
2025-11-30,STU_0344,Business English,Team Delta,Rep_14,1882000,Active
2024-03-11,STU_0345,IELTS,Team Delta,Rep_8,1015000,Active
2025-07-31,STU_0346,Kids English,Team Delta,Rep_8,407000,Active
2024-03-16,STU_0347,TOEIC,Team Alpha,Rep_5,1354000,Active
2024-04-26,STU_0348,Academic Skills,Team Bravo,Rep_3,603000,Active
2024-09-05,STU_0349,Kids English,Team Alpha,Rep_7,351000,Active
2025-07-17,STU_0350,IELTS,Team Bravo,Rep_5,253000,Active
2024-06-06,STU_0351,IELTS,Team Delta,Rep_1,1343000,Active
2025-11-22,STU_0352,Business English,Team Sigma,Rep_15,1896000,Active
2025-04-14,STU_0353,Academic Skills,Team Sigma,Rep_5,827000,Active
2025-09-15,STU_0354,TOEIC,Team Delta,Rep_10,786000,Active
2025-08-16,STU_0355,Business English,Team Sigma,Rep_8,1848000,Active
2024-04-12,STU_0356,Academic Skills,Team Bravo,Rep_10,1643000,Active
2024-09-16,STU_0357,TOEIC,Team Bravo,Rep_1,1645000,Active
2025-11-09,STU_0358,Academic Skills,Team Delta,Rep_13,303000,Active
2024-06-25,STU_0359,TOEIC,Team Bravo,Rep_11,453000,Active
2024-12-14,STU_0360,Kids English,Team Sigma,Rep_3,1450000,Active
2025-03-26,STU_0361,TOEIC,Team Delta,Rep_3,1335000,Active
2025-07-15,STU_0362,Business English,Team Alpha,Rep_13,709000,Active
2024-11-07,STU_0363,Academic Skills,Team Delta,Rep_15,1696000,Cancelled
2024-05-23,STU_0364,TOEIC,Team Sigma,Rep_1,298000,Active
