lead_id,student_id,lead_created_date,lead_source,marketing_cost,region,device_type,contact_attempts,response_time_hours,lead_stage,contacted_date,demo_date,followup_count,sales_cycle_days,contract_date,contract_value,payment_plan,discount_percent,course_category,course_level,renewal_flag,sales_rep,team,tenure_months,quota_monthly,churn_risk_score,CLV_estimate,probability_to_renew
35,68435,2024-04-04,Google Ads,11.09,DN,Desktop,7,17.3,Demo,2024-04-06,2024-04-08,6,39,,0,,0,,,0,Long,Delta,36,38413,0.649,0.0,0.163
36,57886,2024-09-18,Google Ads,10.18,DN,Mobile,6,2.3,Lost,2024-09-20,2024-09-26,2,6,,0,,0,,,0,My,Alpha,14,32429,0.987,0.0,0.109
37,67803,2024-11-08,Referral,3.17,DN,Mobile,3,33.2,Contacted,2024-11-08,2024-11-08,6,35,,0,,0,,,0,Minh,Alpha,41,57629,0.9,0.0,0.878
38,32551,2024-03-11,Referral,4.75,HCM,Desktop,5,23.8,Contacted,2024-03-12,2024-03-13,3,28,,0,,0,,,0,My,Delta,18,28206,0.558,0.0,0.057
39,12394,2024-08-06,Google Ads,6.5,DN,Desktop,7,71.1,Won,2024-08-10,2024-08-13,9,41,2024-09-16,875,Full,5,Communicative,Intermediate,1,Duc,Delta,4,29023,0.118,2136.28,0.247
40,70092,2024-01-21,Website,4.92,DN,Mobile,1,62.6,New,2024-01-25,2024-01-30,9,44,,0,,0,,,0,Long,Alpha,14,78904,0.788,0.0,0.67
41,4890,2024-04-01,Referral,4.19,DN,Desktop,3,59.5,Won,2024-04-05,2024-04-09,1,1,2024-04-02,1238,Installment,10,Communicative,Intermediate,0,Lan,Delta,31,37948,0.566,2922.51,0.634
42,42606,2024-05-06,Website,12.28,HCM,Desktop,2,36.3,Won,2024-05-09,2024-05-09,0,16,2024-05-22,1538,Full,5,Business English,Beginner,1,Khanh,Beta,22,23301,0.582,3367.69,0.898
43,97276,2024-03-20,Google Ads,9.94,DN,Mobile,4,58.2,Contacted,2024-03-21,2024-03-24,7,12,,0,,0,,,0,Lan,Delta,7,60914,0.542,0.0,0.26
44,81038,2024-11-07,Referral,8.92,DN,Desktop,6,19.6,New,2024-11-07,2024-11-12,4,28,,0,,0,,,0,Vy,Beta,22,52524,0.33,0.0,0.264
45,88313,2024-08-25,TikTok,4.16,HN,Mobile,1,40.6,New,2024-08-28,2024-08-29,9,15,,0,,0,,,0,My,Alpha,4,68970,0.117,0.0,0.36
46,11627,2024-06-30,Google Ads,13.85,HN,Desktop,4,28.6,Contacted,2024-07-04,2024-07-08,3,8,,0,,0,,,0,Khanh,Gamma,22,66666,0.285,0.0,0.99
47,9792,2024-01-25,Referral,3.68,DN,Desktop,6,12.8,Negotiation,2024-01-28,2024-01-31,8,4,,0,,0,,,0,Duc,Alpha,35,26479,0.799,0.0,0.068
48,74969,2024-06-04,Website,12.13,DN,Mobile,7,5.7,Demo,2024-06-07,2024-06-07,4,31,,0,,0,,,0,Vy,Delta,17,43284,0.072,0.0,0.35
49,44001,2024-01-05,Website,14.53,HN,Mobile,7,40.4,Negotiation,2024-01-09,2024-01-14,9,30,,0,,0,,,0,Lan,Alpha,40,43951,0.659,0.0,0.108
50,77552,2024-04-29,Referral,11.18,HCM,Mobile,6,7.5,Negotiation,2024-05-03,2024-05-08,1,35,,0,,0,,,0,Hoa,Delta,20,33082,0.318,0.0,0.781
51,24897,2024-10-03,Website,14.9,HCM,Mobile,5,51.8,Demo,2024-10-03,2024-10-07,8,6,,0,,0,,,0,Khanh,Beta,9,62987,0.322,0.0,0.251
52,69148,2024-01-18,Referral,10.11,HN,Mobile,3,66.4,Lost,2024-01-19,2024-01-20,9,38,,0,,0,,,0,Khanh,Delta,1,38053,0.523,0.0,0.051
53,24483,2024-07-16,Referral,4.04,DN,Mobile,5,12.1,Negotiation,2024-07-18,2024-07-22,6,21,,0,,0,,,0,Duc,Gamma,23,30826,0.395,0.0,0.492
54,49555,2024-02-26,Website,3.85,HN,Mobile,4,34.2,Won,2024-02-28,2024-02-29,8,30,2024-03-27,1415,Full,5,TOEIC,Intermediate,0,Khanh,Gamma,35,23721,0.83,2072.51,0.639
55,18159,2024-04-02,Facebook,5.54,HCM,Mobile,7,53.3,Contacted,2024-04-04,2024-04-06,4,16,,0,,0,,,0,Duc,Delta,46,59202,0.876,0.0,0.835
56,81077,2024-01-19,TikTok,1.1,HN,Mobile,1,21.0,Negotiation,2024-01-19,2024-01-21,6,8,,0,,0,,,0,Khanh,Gamma,28,50320,0.804,0.0,0.014
57,36920,2024-12-18,Google Ads,10.54,HCM,Desktop,4,66.3,Demo,2024-12-21,2024-12-22,7,27,,0,,0,,,0,Khanh,Gamma,14,43961,0.916,0.0,0.755
58,93067,2024-07-11,TikTok,4.76,DN,Desktop,1,64.0,Won,2024-07-15,2024-07-18,3,33,2024-08-13,2260,Full,5,Communicative,Intermediate,0,My,Gamma,44,62647,0.523,4235.06,0.141
59,68121,2024-08-24,Google Ads,12.41,DN,Mobile,7,7.9,Demo,2024-08-25,2024-08-25,7,43,,0,,0,,,0,Vy,Alpha,22,39323,0.339,0.0,0.768
60,70479,2024-10-03,Google Ads,6.03,DN,Desktop,7,2.5,Contacted,2024-10-05,2024-10-07,6,12,,0,,0,,,0,Vy,Delta,28,24790,0.257,0.0,0.154
61,90475,2024-08-14,TikTok,7.72,HCM,Mobile,4,70.3,Contacted,2024-08-15,2024-08-18,2,43,,0,,0,,,0,Hoa,Alpha,47,38994,0.824,0.0,0.302
62,20457,2024-08-20,Referral,14.52,HN,Mobile,5,68.9,Contacted,2024-08-21,2024-08-25,7,42,,0,,0,,,0,Minh,Gamma,4,63964,0.272,0.0,0.053
63,67557,2024-02-09,Website,4.39,DN,Desktop,7,30.7,Contacted,2024-02-13,2024-02-19,3,23,,0,,0,,,0,Khanh,Beta,35,62972,0.695,0.0,0.375
64,78189,2024-11-18,Facebook,11.1,HCM,Mobile,4,4.1,Demo,2024-11-18,2024-11-20,1,39,,0,,0,,,0,My,Alpha,40,75433,0.349,0.0,0.245
65,79953,2024-06-01,Facebook,11.57,DN,Mobile,2,44.7,Won,2024-06-05,2024-06-11,8,1,2024-06-02,317,Full,5,Communicative,Intermediate,0,My,Beta,6,29647,0.529,437.06,0.125
66,53995,2024-05-06,Facebook,4.09,HN,Mobile,7,21.5,Contacted,2024-05-06,2024-05-11,7,7,,0,,0,,,0,My,Delta,17,48438,0.85,0.0,0.29
67,41757,2024-08-24,TikTok,8.01,DN,Mobile,5,67.5,Contacted,2024-08-27,2024-09-01,3,36,,0,,0,,,0,Vy,Alpha,38,65403,0.164,0.0,0.008
68,10692,2024-02-24,TikTok,5.9,HCM,Desktop,4,57.3,Won,2024-02-25,2024-02-28,2,25,2024-03-20,245,Full,0,Communicative,Beginner,0,Khanh,Beta,34,62282,0.306,416.3,0.879
69,46758,2024-06-20,Referral,11.81,HCM,Mobile,4,46.9,Contacted,2024-06-22,2024-06-22,2,21,,0,,0,,,0,Lan,Gamma,41,38659,0.075,0.0,0.448
70,73409,2024-04-18,Facebook,9.71,DN,Desktop,3,20.8,Lost,2024-04-19,2024-04-24,5,37,,0,,0,,,0,Duc,Alpha,32,59846,0.36,0.0,0.444
71,72211,2024-12-19,Referral,7.66,DN,Desktop,7,50.6,Contacted,2024-12-23,2024-12-27,1,12,,0,,0,,,0,Khanh,Delta,31,71720,0.698,0.0,0.658
72,66697,2024-07-02,Facebook,11.91,HCM,Mobile,5,21.2,Demo,2024-07-02,2024-07-04,2,32,,0,,0,,,0,Hoa,Gamma,14,49393,0.557,0.0,0.167
73,38065,2024-07-16,TikTok,4.29,DN,Desktop,3,3.2,New,2024-07-19,2024-07-24,0,38,,0,,0,,,0,Vy,Beta,45,32624,0.342,0.0,0.854
74,93093,2024-03-27,Website,11.55,DN,Desktop,5,36.9,Lost,2024-03-30,2024-04-01,9,16,,0,,0,,,0,Khanh,Gamma,13,39225,0.438,0.0,0.095
75,33606,2024-07-19,Website,13.12,DN,Desktop,1,35.4,Won,2024-07-19,2024-07-19,4,1,2024-07-20,1097,Installment,0,TOEIC,Beginner,0,My,Delta,39,41596,0.229,2639.9,0.412
76,12534,2024-12-02,Website,13.3,HN,Desktop,5,55.1,Won,2024-12-02,2024-12-03,2,44,2025-01-15,2717,Installment,10,Business English,Beginner,0,Vy,Delta,3,22581,0.636,4118.89,0.746
77,95663,2024-11-17,Website,11.97,HN,Mobile,5,62.4,Contacted,2024-11-17,2024-11-22,6,26,,0,,0,,,0,Duc,Alpha,21,64931,0.163,0.0,0.418
78,41397,2024-10-01,Google Ads,6.71,HN,Mobile,4,25.8,Lost,2024-10-04,2024-10-06,8,14,,0,,0,,,0,Khanh,Gamma,13,23051,0.278,0.0,0.356
79,92387,2024-07-29,Facebook,14.75,DN,Mobile,2,32.6,Won,2024-07-30,2024-07-31,4,6,2024-08-04,791,Full,10,Business English,Advanced,0,Lan,Alpha,11,74955,0.717,1375.39,0.615
80,2016,2024-04-27,Website,6.31,HCM,Desktop,6,34.1,Demo,2024-04-28,2024-04-28,1,41,,0,,0,,,0,Duc,Beta,35,58446,0.315,0.0,0.85
81,90789,2024-07-09,Google Ads,9.94,DN,Desktop,5,23.7,Negotiation,2024-07-12,2024-07-17,1,20,,0,,0,,,0,Minh,Beta,4,72624,0.745,0.0,0.684
82,56591,2024-02-11,Google Ads,3.26,DN,Mobile,3,53.7,Lost,2024-02-13,2024-02-19,3,3,,0,,0,,,0,Lan,Alpha,12,47154,0.134,0.0,0.161
83,90812,2024-02-11,Google Ads,14.73,HN,Desktop,2,37.8,Demo,2024-02-15,2024-02-15,9,43,,0,,0,,,0,Hoa,Delta,40,72770,0.707,0.0,0.622
84,24247,2024-11-10,Referral,10.86,HCM,Desktop,5,65.8,New,2024-11-13,2024-11-18,8,12,,0,,0,,,0,Vy,Gamma,47,47032,0.473,0.0,0.968
85,25300,2024-10-02,Referral,11.55,HN,Mobile,2,47.0,Won,2024-10-04,2024-10-10,1,33,2024-11-04,2224,Full,0,TOEIC,Beginner,0,Duc,Gamma,15,38884,0.512,3699.05,0.52
86,75065,2024-11-24,Google Ads,1.92,HCM,Desktop,1,15.7,Demo,2024-11-28,2024-12-04,4,1,,0,,0,,,0,Hoa,Gamma,16,36445,0.467,0.0,0.34
87,83798,2024-01-17,Website,11.69,DN,Desktop,2,12.3,Lost,2024-01-18,2024-01-24,6,19,,0,,0,,,0,Khanh,Alpha,39,50914,0.261,0.0,0.619
88,10268,2024-10-09,Facebook,11.85,DN,Mobile,1,27.1,Demo,2024-10-09,2024-10-15,9,2,,0,,0,,,0,Lan,Delta,46,29516,0.643,0.0,0.063
89,87807,2024-09-14,TikTok,10.4,DN,Mobile,2,25.3,New,2024-09-18,2024-09-21,3,23,,0,,0,,,0,My,Delta,8,70448,0.316,0.0,0.753
90,13185,2024-03-03,Referral,5.09,HCM,Mobile,2,29.6,Demo,2024-03-03,2024-03-05,6,8,,0,,0,,,0,My,Alpha,41,32331,0.447,0.0,0.315
91,64704,2024-03-02,Website,7.86,HN,Mobile,3,13.6,Negotiation,2024-03-04,2024-03-08,6,34,,0,,0,,,0,My,Alpha,4,31227,0.281,0.0,0.061
92,87779,2024-04-09,Website,2.55,HN,Mobile,6,70.4,New,2024-04-12,2024-04-18,1,4,,0,,0,,,0,Long,Alpha,20,72692,0.38,0.0,0.697
93,40099,2024-01-19,TikTok,7.6,HN,Mobile,3,10.9,Demo,2024-01-22,2024-01-28,1,8,,0,,0,,,0,Khanh,Beta,8,35439,0.003,0.0,0.153
94,9571,2024-01-17,TikTok,4.41,HCM,Mobile,4,47.2,Contacted,2024-01-17,2024-01-22,1,27,,0,,0,,,0,Minh,Delta,25,75743,0.502,0.0,0.138
95,39044,2024-11-20,Website,5.89,HCM,Desktop,2,1.4,Negotiation,2024-11-24,2024-11-28,8,26,,0,,0,,,0,Vy,Alpha,4,65018,0.51,0.0,0.27
96,52214,2024-09-02,TikTok,3.28,DN,Mobile,1,29.6,Lost,2024-09-06,2024-09-12,0,33,,0,,0,,,0,Long,Delta,47,73312,0.525,0.0,0.308
97,62228,2024-09-07,Website,4.22,HN,Desktop,7,22.6,Negotiation,2024-09-09,2024-09-14,5,43,,0,,0,,,0,Minh,Delta,33,46088,0.483,0.0,0.456
98,49984,2024-03-21,TikTok,2.07,HCM,Mobile,2,27.8,Negotiation,2024-03-24,2024-03-24,6,40,,0,,0,,,0,Lan,Delta,26,32871,0.426,0.0,0.817
99,41774,2024-02-08,TikTok,13.88,HN,Desktop,7,36.1,Contacted,2024-02-08,2024-02-12,8,40,,0,,0,,,0,Minh,Alpha,5,66569,0.665,0.0,0.921
100,3568,2024-02-05,Website,8.43,HN,Desktop,5,43.4,Demo,2024-02-06,2024-02-12,2,3,,0,,0,,,0,Hoa,Alpha,28,71855,0.202,0.0,0.023
101,63592,2024-07-15,Google Ads,6.55,HCM,Desktop,1,42.2,Demo,2024-07-18,2024-07-22,8,9,,0,,0,,,0,Long,Delta,4,34741,0.575,0.0,0.312
102,68563,2024-06-06,Website,8.49,HCM,Desktop,5,45.6,Won,2024-06-09,2024-06-14,6,10,2024-06-16,1329,Installment,0,Business English,Beginner,0,Khanh,Delta,33,22047,0.9,2158.42,0.564
103,3695,2024-07-22,Facebook,9.8,DN,Desktop,4,60.9,Won,2024-07-24,2024-07-28,4,29,2024-08-20,952,Full,0,TOEIC,Advanced,0,Long,Alpha,41,33567,0.119,2327.65,0.398
104,49190,2024-07-14,TikTok,13.91,DN,Mobile,5,63.9,Negotiation,2024-07-17,2024-07-23,4,21,,0,,0,,,0,Vy,Gamma,24,28682,0.152,0.0,0.849
105,6258,2024-08-03,Referral,3.5,DN,Mobile,4,53.2,Lost,2024-08-05,2024-08-08,6,42,,0,,0,,,0,Khanh,Delta,33,70843,0.866,0.0,0.109
106,88538,2024-10-11,TikTok,5.14,HN,Mobile,4,6.1,Won,2024-10-13,2024-10-19,9,18,2024-10-29,1808,Full,0,Business English,Beginner,0,Duc,Beta,45,56314,0.907,3425.87,0.774
107,40504,2024-07-14,Facebook,14.66,HN,Desktop,4,69.2,New,2024-07-15,2024-07-18,5,17,,0,,0,,,0,Minh,Alpha,46,39396,0.769,0.0,0.591
108,34159,2024-11-02,Referral,6.2,DN,Desktop,5,68.2,Demo,2024-11-06,2024-11-11,7,21,,0,,0,,,0,Lan,Alpha,27,78783,0.07,0.0,0.446
109,14986,2024-05-31,Referral,1.32,HN,Desktop,4,51.4,Won,2024-06-03,2024-06-03,9,3,2024-06-03,687,Installment,0,IELTS,Intermediate,0,Lan,Alpha,29,53464,0.104,1531.56,0.605
110,62858,2024-01-14,Website,3.07,HN,Mobile,4,37.5,Won,2024-01-16,2024-01-21,9,27,2024-02-10,313,Installment,0,IELTS,Intermediate,0,Lan,Delta,3,28075,0.874,663.26,0.973
111,13666,2024-11-20,Google Ads,1.37,HN,Desktop,3,18.4,Contacted,2024-11-22,2024-11-26,8,32,,0,,0,,,0,Khanh,Beta,30,73530,0.998,0.0,0.076
112,39660,2024-05-25,Website,14.86,HN,Desktop,7,54.6,Negotiation,2024-05-29,2024-05-29,5,42,,0,,0,,,0,Vy,Delta,37,59983,0.833,0.0,0.316
113,4561,2024-02-26,Referral,4.9,HCM,Mobile,6,63.3,Demo,2024-03-01,2024-03-01,2,29,,0,,0,,,0,Khanh,Beta,11,22578,0.939,0.0,0.584
114,27854,2024-07-29,Referral,13.93,HCM,Mobile,2,48.1,New,2024-07-31,2024-07-31,8,29,,0,,0,,,0,Khanh,Beta,28,40397,0.922,0.0,0.646
115,65505,2024-09-24,Google Ads,14.94,DN,Mobile,4,45.5,Won,2024-09-27,2024-09-30,1,26,2024-10-20,1088,Full,15,Communicative,Intermediate,0,Khanh,Alpha,2,78196,0.273,2680.24,0.094
116,53251,2024-07-28,TikTok,9.4,DN,Desktop,1,14.3,Won,2024-07-31,2024-08-06,4,9,2024-08-06,965,Full,15,Communicative,Intermediate,0,Duc,Gamma,23,26231,0.433,1739.4,0.179
117,23662,2024-01-17,Google Ads,1.46,HN,Desktop,1,26.1,Demo,2024-01-20,2024-01-23,9,27,,0,,0,,,0,Vy,Gamma,37,41035,0.857,0.0,0.087
118,9392,2024-10-12,Website,2.14,HN,Mobile,3,52.2,New,2024-10-16,2024-10-18,3,12,,0,,0,,,0,Duc,Gamma,9,23203,0.414,0.0,0.571
119,31535,2024-12-09,TikTok,7.74,HCM,Desktop,5,1.7,Won,2024-12-12,2024-12-17,1,16,2024-12-25,2322,Full,10,Business English,Intermediate,1,Hoa,Beta,31,28833,0.315,4118.52,0.888
120,79603,2024-07-21,Website,6.69,HN,Desktop,5,46.4,Demo,2024-07-24,2024-07-28,5,2,,0,,0,,,0,Long,Delta,12,62200,0.078,0.0,0.944
121,53256,2024-04-08,Google Ads,9.49,HN,Desktop,5,55.3,New,2024-04-11,2024-04-16,9,39,,0,,0,,,0,Long,Gamma,8,36401,0.289,0.0,0.353
122,90135,2024-10-05,TikTok,7.14,DN,Desktop,4,24.4,Contacted,2024-10-09,2024-10-10,6,27,,0,,0,,,0,Khanh,Delta,12,48953,0.984,0.0,0.277
123,36222,2024-07-27,Google Ads,14.08,HN,Mobile,6,5.9,Contacted,2024-07-27,2024-07-30,1,9,,0,,0,,,0,Hoa,Delta,1,57474,0.929,0.0,0.038
124,78373,2024-05-08,Facebook,8.49,HCM,Desktop,7,59.1,Negotiation,2024-05-08,2024-05-14,2,2,,0,,0,,,0,Khanh,Delta,47,79331,0.843,0.0,0.414
125,80575,2024-11-30,Referral,10.71,HN,Desktop,6,10.6,Contacted,2024-12-03,2024-12-08,4,42,,0,,0,,,0,Khanh,Beta,11,61858,0.759,0.0,0.009
126,97354,2024-10-14,TikTok,13.55,HN,Mobile,5,27.0,New,2024-10-14,2024-10-19,8,7,,0,,0,,,0,Lan,Delta,4,77821,0.269,0.0,0.848
127,85651,2024-09-08,Referral,3.06,HN,Desktop,5,51.1,Won,2024-09-11,2024-09-12,6,8,2024-09-16,2758,Installment,10,TOEIC,Advanced,0,Minh,Gamma,14,32294,0.259,6304.64,0.485
128,64335,2024-09-21,Facebook,4.22,HN,Desktop,2,58.9,Lost,2024-09-25,2024-09-29,2,38,,0,,0,,,0,Vy,Gamma,31,53584,0.497,0.0,0.974
129,11965,2024-09-27,TikTok,2.5,HN,Mobile,6,62.2,New,2024-09-30,2024-10-04,9,6,,0,,0,,,0,Hoa,Alpha,3,64236,0.564,0.0,0.244
130,25538,2024-07-06,Referral,2.95,HCM,Desktop,4,38.4,Contacted,2024-07-07,2024-07-10,3,19,,0,,0,,,0,Long,Alpha,36,70135,0.403,0.0,0.498
131,71592,2024-08-01,Referral,8.18,DN,Mobile,4,34.5,Demo,2024-08-03,2024-08-04,6,15,,0,,0,,,0,Long,Gamma,6,37411,0.56,0.0,0.813
132,99018,2024-10-09,TikTok,5.5,HN,Desktop,7,61.2,Contacted,2024-10-13,2024-10-18,0,28,,0,,0,,,0,Minh,Alpha,34,78824,0.479,0.0,0.22
133,9110,2024-07-29,Referral,6.92,DN,Desktop,1,40.8,Contacted,2024-07-30,2024-07-30,3,30,,0,,0,,,0,Vy,Alpha,20,61461,0.617,0.0,0.416
134,80309,2024-12-30,Referral,14.75,DN,Desktop,1,41.9,Contacted,2024-12-31,2024-12-31,0,27,,0,,0,,,0,Minh,Alpha,39,71729,0.527,0.0,0.866
135,28266,2024-03-16,TikTok,3.19,HCM,Mobile,2,31.5,Won,2024-03-18,2024-03-23,4,10,2024-03-26,1635,Full,5,TOEIC,Advanced,0,Vy,Alpha,31,69046,0.217,3875.0,0.685
136,53992,2024-05-27,Referral,8.57,DN,Desktop,3,27.2,Lost,2024-05-28,2024-05-31,1,31,,0,,0,,,0,Vy,Delta,34,72830,0.528,0.0,0.65
137,83948,2024-11-16,Referral,2.38,HN,Desktop,4,34.9,Won,2024-11-18,2024-11-19,8,1,2024-11-17,1742,Full,15,TOEIC,Intermediate,0,Long,Gamma,23,58556,0.529,4026.74,0.574
138,99806,2024-07-31,Website,5.46,HN,Mobile,7,26.6,Negotiation,2024-08-03,2024-08-06,2,32,,0,,0,,,0,Hoa,Alpha,42,78454,0.063,0.0,0.526
139,7910,2024-04-18,Website,8.39,HN,Desktop,1,25.1,Negotiation,2024-04-22,2024-04-22,4,16,,0,,0,,,0,Duc,Alpha,18,63772,0.261,0.0,0.476
140,91982,2024-05-08,Facebook,14.25,HN,Desktop,5,71.5,Demo,2024-05-12,2024-05-16,7,6,,0,,0,,,0,My,Alpha,14,45281,0.6,0.0,0.108
141,1206,2024-01-10,Website,6.48,HCM,Desktop,4,24.5,Demo,2024-01-14,2024-01-17,7,2,,0,,0,,,0,Lan,Beta,40,52292,0.42,0.0,0.367
142,88054,2024-02-16,Website,1.91,DN,Mobile,4,18.8,Negotiation,2024-02-18,2024-02-18,8,42,,0,,0,,,0,Duc,Alpha,21,71282,0.802,0.0,0.495
